DEPTH,GR
18.10 ,5.80 
3.27 ,4.50 
14.38 ,17.45 
6.72 ,13.88 
3.20 ,4.24 
15.38 ,8.31 
7.60 ,6.82 
12.38 ,14.60 
1.26 ,9.88 
18.10 ,9.34 
18.95 ,12.57 
19.10 ,15.00 
14.81 ,8.46 
14.05 ,15.42 
3.51 ,3.94 
18.33 ,10.82 
7.27 ,4.99 
14.53 ,12.29 
18.79 ,8.82 
3.95 ,12.85 
3.82 ,8.00 
17.60 ,15.01 
3.69 ,19.01 
8.30 ,19.51 
10.65 ,10.42 
18.40 ,9.26 
17.61 ,11.59 
3.88 ,16.37 
10.23 ,11.06 
1.96 ,0.68 
0.87 ,12.42 
14.02 ,2.58 
0.34 ,5.05 
2.31 ,11.14 
17.89 ,7.67 
10.50 ,0.14 
9.80 ,17.28 
13.31 ,13.07 
8.00 ,19.56 
3.63 ,3.31 
18.42 ,17.36 
18.90 ,11.70 
3.59 ,14.58 
5.54 ,19.86 
18.37 ,3.08 
8.06 ,2.68 
9.55 ,5.16 
10.77 ,19.77 
11.65 ,18.99 
11.35 ,19.94 
6.96 ,9.79 
6.04 ,3.49 
0.06 ,10.20 
3.61 ,8.21 
8.34 ,17.99 
1.13 ,1.19 
7.19 ,3.08 
8.73 ,12.82 
7.02 ,4.58 
2.33 ,1.05 
16.76 ,14.54 
2.43 ,5.71 
7.02 ,10.78 
12.26 ,0.80 
15.14 ,14.10 
11.60 ,5.39 
19.82 ,5.76 
11.39 ,18.52 
13.15 ,12.46 
16.83 ,11.45 
1.67 ,14.12 
2.59 ,0.28 
12.52 ,13.29 
4.64 ,9.79 
7.12 ,3.75 
11.89 ,8.06 
12.39 ,11.58 
16.39 ,9.74 
10.11 ,10.95 
9.49 ,15.30 
10.15 ,9.96 
16.04 ,6.02 
12.14 ,1.28 
4.31 ,7.06 
18.46 ,19.56 
10.87 ,15.13 
5.37 ,6.42 
18.82 ,16.80 
12.00 ,16.44 
12.40 ,19.35 
3.95 ,9.40 
13.95 ,7.84 
7.26 ,1.57 
16.57 ,10.51 
5.91 ,13.64 
1.05 ,3.25 
11.38 ,12.47 
6.52 ,15.14 
17.39 ,13.63 
12.74 ,1.52 
3.37 ,7.73 
17.80 ,14.67 
7.60 ,17.43 
4.20 ,5.22 
17.40 ,19.29 
12.29 ,12.93 
15.51 ,1.35 
5.13 ,9.35 
12.75 ,7.57 
11.50 ,11.72 
6.26 ,18.95 
18.82 ,5.09 
19.47 ,12.98 
19.90 ,17.52 
16.02 ,14.98 
14.81 ,9.46 
12.47 ,10.09 
5.18 ,14.71 
14.98 ,7.73 
11.02 ,13.33 
16.72 ,3.86 
3.47 ,7.45 
0.82 ,2.91 
12.92 ,18.34 
1.78 ,0.83 
0.46 ,7.96 
12.13 ,12.32 
14.30 ,3.64 
